fold1
0.041667,0.042424,0.005305,0.010811,no
0.347222,0,0.002653,0.032432,no
0.173611,0,0.005305,0.010811,no
fold2
0.131944,0,0.002653,0.016216,no
0.388889,0,0.002653,0.043243,no
0.479167,0,0.002653,0.259459,no
fold3
0.347222,0,0,0.032432,no
0.347222,0,0.005305,0.010811,no
0.347222,0,0.002653,0.005405,no
fold4
0.083333,0.054545,0.005305,0.010811,no
0.173611,0,0.002653,0.016216,no
0.347222,0.006061,0.005305,0.005405,no
fold5
0.520833,0,0.002653,0.351351,no
0.305556,0,0.005305,0.027027,no
0.215278,0,0.002653,0,no
fold6
0.347222,0.006061,0.005305,0.005405,no
0.083333,0.012121,0.002653,0.016216,no
0.215278,0,0,0.016216,no
fold7
0.777778,0.69697,0.005305,0.205405,yes
0.388889,0,0.002653,0.043243,no
0.083333,0.024242,0.002653,0.016216,no
fold8
0.173611,0.078788,0.005305,0.010811,no
0.305556,0.090909,0.005305,0.010811,no
0.520833,0,0.002653,0.324324,no
fold9
0.826389,0,0.002653,0.767568,no
0.173611,0,0.005305,0.010811,no
0.5625,0.060606,0.002653,0.124324,no
fold10
0.951389,0.89697,0.442971,0.632432,yes
0.736111,0,0.002653,0.697297,no
